doc_id,title,policy_type,region,issuer,start_date,end_date,eligibility_text,benefit_text,required_docs_text,apply_url,full_text
SHC-BURDENREDUCTION-2025-01,소상공인 부담경감 크레딧,"efficiency|liquidity","전국|서울특별시|성동구",신한카드,2025-07-14,2025-11-28,"연매출 3억원 이하 소상공인 (2025년 5월 1일 이전 개업, 유흥·사행업 제외)","1인당 50만원 크레딧 지급(4대보험·공과금·유류비 등 사용 가능)","",https://www.shinhancard.com/pconts/html/benefit/fund2/MOBFM735/MOBFM73501.html,"고정비 부담 완화를 위해 소상공인에게 50만원 크레딧 지급 지원."
SHB-DELIVERY-2025-01,땡겨요 이차보전대출,"liquidity|acquisition","전국|서울특별시|성동구",신한은행,2025-08-02,2025-12-31,"배달앱 ‘땡겨요’ 가맹 소상공인","저금리 운영자금 대출, 보증 연계, 지자체 이자 지원","",https://www.handmk.com/news/articleView.html?idxno=32559,"신한은행이 배달앱 ‘땡겨요’ 가맹 소상공인에게 운영자금 및 보증 지원 제공."
SHB-INTERESTREFUND-2025-01,소상공인 이자 환급 프로그램,"liquidity","전국|서울특별시",신한은행,2025-07-10,2025-12-31,"신한은행 거래 소상공인 약 28만 명","총 1,953억 원 이자 환급 지급","",https://www.mk.co.kr/news/special-edition/11445308,"고금리 부담을 덜기 위해 이자 환급 프로그램 시행."
SHB-YELLOWUMBRELLA-2025-01,노란우산 상생지원 패키지,"loyalty|liquidity","전국|서울특별시",신한은행,2025-07-05,2025-12-31,"노란우산 신규가입 소상공인","상생지원금 10만원 및 협약보증대출 혜택","",https://www.smedaily.co.kr/news/articleView.html?idxno=333505,"노란우산 신규가입 소상공인에게 상생지원금 지급."
SHB-SUCCESS-2025-01,성공 두드림 세미나,"consulting|education","서울특별시|성동구",신한은행,2025-09-01,2025-11-30,"성동구 소상공인 및 자영업자","금융·세무 컨설팅, 네트워킹 기회 제공","",https://www.smedaily.co.kr/news/articleView.html?idxno=339135,"신한은행이 지역 신용보증재단과 함께 소상공인 대상 성공 세미나 개최."
SHB-POLICYLOAN-2025-01,소상공인 정책자금 대출,"liquidity|guarantee","전국",신한은행,2025-07-30,2025-12-31,"소상공인시장진흥공단 정책자금 대출 연계 가능 사업자","저금리 정책자금 연계, 보증 지원","",https://bank.shinhan.com/index.jsp?cr=020308100000,"소상공인시장진흥공단 정책자금과 연계한 대출 상품 운영."
SHB-SANGSAENG-2025-01,상생가게 지원사업,"loyalty|consulting","서울특별시|성동구",신한은행,2025-08-15,2025-12-31,"나눔·상생 활동 참여 소상공인","금융지원 및 브랜드 홍보 기회 제공","",https://www.mk.co.kr/news/special-edition/11445308,"소상공인의 상생 활동을 지원하는 금융·마케팅 프로그램."
SHB-COSTREDUCTION-2025-01,소상공인 수수료 우대 프로그램,"efficiency|cost-reduction","서울특별시|성동구",신한은행,2025-08-20,2025-12-31,"신한은행 가맹점 소상공인","결제수수료 인하 및 정산주기 단축","",https://example.com/shb/fee,"신한 가맹점 대상 결제 수수료 인하 프로그램."
SHB-DIGITAL-2025-01,디지털 전환 지원 컨설팅,"consulting|efficiency","서울특별시|성동구",신한은행,2025-09-10,2025-12-31,"성동구 소상공인","POS·온라인 결제 전환 컨설팅, 데이터 지원","",https://www.sd.go.kr/,"성동구 소상공인 디지털 전환 및 상권 데이터 활용 지원."
SHB-CONSULT-2025-01,SOHO 컨설팅 프로그램,"consulting|education","서울특별시|성동구",신한은행,2025-09-15,2025-12-31,"신한 SOHO 플랫폼 가입 소상공인","경영 컨설팅, 상권분석 리포트 제공","",https://example.com/shb/soho,"신한 SOHO 컨설팅 및 상권 데이터 리포트 지원 프로그램."
